,formula,file_dir,error_str,folder_ind,chgnet_ehull,corrected_chgnet_ehull
49,Re2 H1 O5,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/23/min_e_strc.cif,no_error,23,0.7905496656894684,0.7905496656894684
50,Na8 N6 O38,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/856/min_e_strc.cif,no_error,856,0.7026897577139044,0.7026897577139044
51,Li2 Co8 F16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/851/min_e_strc.cif,no_error,851,0.04883067424480814,0.04883067424480814
52,Sr4 U2 Al12 N4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/206/min_e_strc.cif,no_error,206,0.7807685823151544,0.7807685823151544
53,Si8 C4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/502/min_e_strc.cif,no_error,502,0.24547576904296875,0.24547576904296875
54,Ho8 Cd2 S14,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/259/min_e_strc.cif,no_error,259,0.09360607465109183,0.09360607465109183
55,Tb4 In2 Ni4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/310/min_e_strc.cif,No valid decomposition found for PDEntry : Tb4 In2 Ni4 with energy = -52.3033! (e_h: -0.0020084381103515625),310,0.0,-0.0020084381103515625
56,Eu8 In4 As4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/204/min_e_strc.cif,no_error,204,0.14934893449147424,0.14934893449147424
57,Ca4 Mg2 Ni8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/911/min_e_strc.cif,no_error,911,0.05405712127685636,0.05405712127685636
58,Yb4 Gd4 Au8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/132/min_e_strc.cif,Unable to get decomposition for PDEntry : Yb4 Gd4 Au8 with energy = -102.9685,132,0.0,0.0
59,Gd3 Pb1,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/553/min_e_strc.cif,no_error,553,0.0269508361816424,0.0269508361816424
60,Tm6 Se6 O6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/703/min_e_strc.cif,no_error,703,0.6387722492218062,0.6387722492218062
61,La12 Bi16 Te12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/993/min_e_strc.cif,no_error,993,0.24249849319457972,0.24249849319457972
62,Ce2 In4 Cu3,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/935/min_e_strc.cif,no_error,935,0.13922990692986303,0.13922990692986303
63,Ce4 In4 Cu20,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/888/min_e_strc.cif,no_error,888,0.07557487487792969,0.07557487487792969
64,Ta4 Ti8 O24,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/890/min_e_strc.cif,no_error,890,0.21227476331922723,0.21227476331922723
65,Ce4 Si6 Ir2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/345/min_e_strc.cif,no_error,345,0.07967805862426758,0.07967805862426758
66,Ag1 Ir1 O3,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/56/min_e_strc.cif,no_error,56,0.2752262115478512,0.2752262115478512
67,Mn4 Ga4 Fe8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/462/min_e_strc.cif,No valid decomposition found for PDEntry : Mn4 Ga4 Fe8 with energy = -118.0567! (e_h: -0.0003838539123535156),462,0.0,-0.0003838539123535156
68,Mn6 Ga2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/472/min_e_strc.cif,no_error,472,0.049623966217041016,0.049623966217041016
69,Tm8 Ni12 Sb12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/276/min_e_strc.cif,no_error,276,0.24375903606414795,0.24375903606414795
70,Ho1 B2 Rh3,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/294/min_e_strc.cif,No valid decomposition found for PDEntry : Ho1 B2 Rh3 with energy = -44.2651! (e_h: -0.006049156188964844),294,0.0,-0.006049156188964844
71,Tl8 Si4 Ag4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/791/min_e_strc.cif,no_error,791,0.2565058469772339,0.2565058469772339
72,Ti3 O4 F4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/196/min_e_strc.cif,no_error,196,0.08561563491821289,0.08561563491821289
73,Rb2 Hg10 O10,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/861/min_e_strc.cif,No valid decomposition found for PDEntry : Rb2 Hg10 O10 with energy = -71.3538! (e_h: -0.012217444452372384),861,0.0,-0.012217444452372384
74,Li4 Ti8 O16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/140/min_e_strc.cif,no_error,140,0.045453071594231176,0.045453071594231176
75,Ac4 Ga4 Tc8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/610/min_e_strc.cif,no_error,610,0.5796257654825849,0.5796257654825849
76,Cr4 B4 W2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/762/min_e_strc.cif,no_error,762,0.7389146804809599,0.7389146804809599
77,Si2 Ge2 Se8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/934/min_e_strc.cif,No valid decomposition found for PDEntry : Si2 Ge2 Se8 with energy = -56.0393! (e_h: -0.007943153381347656),934,0.0,-0.007943153381347656
78,Ca16 P4 N24,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/112/min_e_strc.cif,no_error,112,0.41522603685205617,0.41522603685205617
79,Lu4 Ag8 Au4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/286/min_e_strc.cif,no_error,286,0.032146573066711426,0.032146573066711426
80,Zn2 Si4 Pd4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/262/min_e_strc.cif,no_error,262,0.0586385907353586,0.0586385907353586
81,Sm4 Lu4 In8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/606/min_e_strc.cif,No valid decomposition found for PDEntry : Sm4 Lu4 In8 with energy = -66.3364! (e_h: -0.0012164115905761719),606,0.0,-0.0012164115905761719
82,Pr1 Nd2 Ge1 Sb2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/58/min_e_strc.cif,no_error,58,0.3329550425211636,0.3329550425211636
83,Si4 Hg1 Te7,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/641/min_e_strc.cif,No valid decomposition found for PDEntry : Si4 Hg1 Te7 with energy = -46.6578! (e_h: -0.004115422566732363),641,0.0,-0.004115422566732363
84,Sm8 Si4 Ge16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/293/min_e_strc.cif,no_error,293,0.02299609476206399,0.02299609476206399
85,Li2 Fe4 F12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/880/min_e_strc.cif,no_error,880,0.038974761962890625,0.038974761962890625
86,Hf6 Co2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/5/min_e_strc.cif,no_error,5,0.2259840965270996,0.2259840965270996
87,Ag8 Sb16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/761/min_e_strc.cif,no_error,761,0.33542950948079486,0.33542950948079486
88,Hf4 Fe12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/569/min_e_strc.cif,no_error,569,0.08689403533935369,0.08689403533935369
89,Hf8 U2 N8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/457/min_e_strc.cif,no_error,457,0.2983279546101869,0.2983279546101869
90,K6 Be18 Ga6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/767/min_e_strc.cif,no_error,767,0.10343596140543632,0.10343596140543632
91,V16 Cr4 N10,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/548/min_e_strc.cif,no_error,548,0.36911557515462334,0.36911557515462334
92,Pm2 Sm2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/367/min_e_strc.cif,no_error,367,0.4641406536102295,0.4641406536102295
93,La3 Sb1 C4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/727/min_e_strc.cif,no_error,727,0.7065910100936881,0.7065910100936881
94,P1 Pt5 W1,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/849/min_e_strc.cif,no_error,849,0.21731962476457944,0.21731962476457944
95,Li4 Mg8 Ga16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/769/min_e_strc.cif,no_error,769,0.0034765856606613355,0.0034765856606613355
96,La2 Ge2 Rh2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/539/min_e_strc.cif,No valid decomposition found for PDEntry : La2 Ge2 Rh2 with energy = -39.2564! (e_h: -0.0168502065870495),539,0.0,-0.0168502065870495
97,Ti2 Al6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/803/min_e_strc.cif,no_error,803,0.5503735542297363,0.5503735542297363
98,Ce4 Lu6 Pb6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/155/min_e_strc.cif,No valid decomposition found for PDEntry : Ce4 Lu6 Pb6 with energy = -79.2293! (e_h: -0.012835502624511719),155,0.0,-0.012835502624511719
99,Na16 Mg4 N8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/344/min_e_strc.cif,no_error,344,0.2868382060338579,0.2868382060338579
100,Ce4 Tm6 Ge6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/516/min_e_strc.cif,No valid decomposition found for PDEntry : Ce4 Tm6 Ge6 with energy = -89.8948! (e_h: -0.019872665405273438),516,0.0,-0.019872665405273438
101,Tm1 In6 Cu1,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/755/min_e_strc.cif,no_error,755,0.05547697842121124,0.05547697842121124
102,Ti6 Ge3,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/135/min_e_strc.cif,No valid decomposition found for PDEntry : Ti6 Ge3 with energy = -66.6938! (e_h: -0.020633220672607422),135,0.0,-0.020633220672607422
103,Al2 Ga4 Ni6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/434/min_e_strc.cif,no_error,434,0.4047980372110995,0.4047980372110995
104,Ti4 Tl8 Te20,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/545/min_e_strc.cif,No valid decomposition found for PDEntry : Ti4 Tl8 Te20 with energy = -134.7962! (e_h: -0.05065280199050903),545,0.0,-0.05065280199050903
105,Pr4 Pa2 O4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/483/min_e_strc.cif,no_error,483,0.15449396769205848,0.15449396769205848
106,Sm6 Tl2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/742/min_e_strc.cif,no_error,742,0.026897430419921875,0.026897430419921875
107,Ac12 Cu4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/659/min_e_strc.cif,no_error,659,0.22742692629496286,0.22742692629496286
108,K8 Pd24 F32,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/975/min_e_strc.cif,no_error,975,0.8236544330914812,0.8236544330914812
109,In4 Sn4 Rh4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/517/min_e_strc.cif,No valid decomposition found for PDEntry : In4 Sn4 Rh4 with energy = -61.1783! (e_h: -0.02974828084309955),517,0.0,-0.02974828084309955
110,Cr8 Bi4 Se20,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/586/min_e_strc.cif,no_error,586,0.08243998885154724,0.08243998885154724
111,Yb4 Eu4 Pt8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/770/min_e_strc.cif,Unable to get decomposition for PDEntry : Yb4 Eu4 Pt8 with energy = -111.1436,770,0.0,0.0
112,Na4 Bi4 N4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/290/min_e_strc.cif,no_error,290,0.4024117257859965,0.4024117257859965
113,Nb8 Sb4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/406/min_e_strc.cif,no_error,406,0.011904716491699219,0.011904716491699219
114,Ho2 Mg2 Ga2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/399/min_e_strc.cif,no_error,399,0.30444836616516113,0.30444836616516113
115,Eu2 In4 Ga6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/142/min_e_strc.cif,no_error,142,0.04645223418871591,0.04645223418871591
116,Tl4 Cu4 Cl16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/330/min_e_strc.cif,No valid decomposition found for PDEntry : Tl4 Cu4 Cl16 with energy = -80.1476! (e_h: -0.005429625511169434),330,0.0,-0.005429625511169434
117,Tb1 Te2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/146/min_e_strc.cif,no_error,146,0.10265641742282483,0.10265641742282483
118,Ce3 As6 Au3,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/852/min_e_strc.cif,no_error,852,0.10781669616699219,0.10781669616699219
119,Tb2 Zr2 I2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/420/min_e_strc.cif,no_error,420,0.2995081477695045,0.2995081477695045
120,Ac4 Eu4 Hg8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/591/min_e_strc.cif,No valid decomposition found for PDEntry : Ac4 Eu4 Hg8 with energy = -68.1458! (e_h: -0.1052389939626055),591,0.0,-0.1052389939626055
121,Na4 Ca4 O16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/939/min_e_strc.cif,no_error,939,0.08729147911071689,0.08729147911071689
122,Eu2 Er4 S16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/291/min_e_strc.cif,no_error,291,0.06315235658125307,0.06315235658125307
123,Yb2 Ga6 Co2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/696/min_e_strc.cif,Unable to get decomposition for PDEntry : Yb2 Ga6 Co2 with energy = -39.6526,696,0.0,0.0
124,Er4 Al2 Au4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/723/min_e_strc.cif,no_error,723,0.033731937408447266,0.033731937408447266
125,Ti2 S4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/489/min_e_strc.cif,no_error,489,0.053971767425538,0.053971767425538
126,Hg8 I4 Br8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/589/min_e_strc.cif,No valid decomposition found for PDEntry : Hg8 I4 Br8 with energy = -35.9060! (e_h: -0.05448548453194779),589,0.0,-0.05448548453194779
127,Li4 Ti4 Rh8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/634/min_e_strc.cif,No valid decomposition found for PDEntry : Li4 Ti4 Rh8 with energy = -108.7049! (e_h: -0.005438804626464844),634,0.0,-0.005438804626464844
128,Ac8 Zn4 Pt4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/853/min_e_strc.cif,No valid decomposition found for PDEntry : Ac8 Zn4 Pt4 with energy = -72.0889! (e_h: -0.37650108337402344),853,0.0,-0.37650108337402344
129,Sr8 Cd4 Hg4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/530/min_e_strc.cif,No valid decomposition found for PDEntry : Sr8 Cd4 Hg4 with energy = -25.4358! (e_h: -0.002262592315673828),530,0.0,-0.002262592315673828
130,Eu4 Se8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/650/min_e_strc.cif,no_error,650,0.007494449615478516,0.007494449615478516
131,Tb6 Te4 O4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/924/min_e_strc.cif,no_error,924,0.6241698946271663,0.6241698946271663
132,Si8 Ni10 Ge4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/722/min_e_strc.cif,no_error,722,0.1829805374145499,0.1829805374145499
133,Cs2 Zn6 Sn4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/738/min_e_strc.cif,no_error,738,0.19750440120697021,0.19750440120697021
134,Zn8 S8 O8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/532/min_e_strc.cif,no_error,532,0.6702486276626587,0.6702486276626587
135,Fe6 Bi6 O18,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/175/min_e_strc.cif,no_error,175,0.011136054992675781,0.011136054992675781
136,Pr2 Si2 Ge2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/966/min_e_strc.cif,no_error,966,0.08580798194522021,0.08580798194522021
137,La4 Al4 O16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/687/min_e_strc.cif,no_error,687,0.3625240325927779,0.3625240325927779
138,Cu8 Sb4 S20,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/570/min_e_strc.cif,no_error,570,0.05504501717430976,0.05504501717430976
139,Mo2 Cl6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/256/min_e_strc.cif,no_error,256,0.023018598556518555,0.023018598556518555
140,Na4 Tl4 Sn8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/870/min_e_strc.cif,No valid decomposition found for PDEntry : Na4 Tl4 Sn8 with energy = -48.5944! (e_h: -0.007909774780273438),870,0.0,-0.007909774780273438
141,Mn2 Ag4 O6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/251/min_e_strc.cif,no_error,251,0.08288796742757842,0.08288796742757842
142,Y8 Ag4 Cl24,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/979/min_e_strc.cif,no_error,979,0.14469570583767233,0.14469570583767233
143,Mg5 Al1 Ga2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/951/min_e_strc.cif,no_error,951,0.6495419760545098,0.6495419760545098
144,Ce4 Pd4 Pb4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/156/min_e_strc.cif,No valid decomposition found for PDEntry : Ce4 Pd4 Pb4 with energy = -66.4291! (e_h: -0.018786390622456572),156,0.0,-0.018786390622456572
145,Ti1 Sn3 Rh1,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/169/min_e_strc.cif,no_error,169,0.4978782529416286,0.4978782529416286
146,Dy8 Mg4 Ag4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/719/min_e_strc.cif,no_error,719,0.05578666925430298,0.05578666925430298
147,Sc4 Si2 B6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/391/min_e_strc.cif,no_error,391,0.36991941928863525,0.36991941928863525
148,Ba2 Sr6 O12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/707/min_e_strc.cif,no_error,707,0.3061089992523165,0.3061089992523165
149,Rb9 Pb6 Se12 O6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/353/min_e_strc.cif,no_error,353,0.1964599435979668,0.1964599435979668
150,Cd4 I4 Br4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/309/min_e_strc.cif,no_error,309,0.0015573501586914062,0.0015573501586914062
151,Sr2 Ca2 O6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/269/min_e_strc.cif,no_error,269,1.628646183013914,1.628646183013914
152,Y4 Fe4 Sb8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/84/min_e_strc.cif,no_error,84,0.04747730493545532,0.04747730493545532
153,Nd4 Ge4 Ir8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/992/min_e_strc.cif,no_error,992,0.46355539560317993,0.46355539560317993
